player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Kyren Williams,LAR,RB,FA,,@Ten,W 33-19,--,10,30th,95.5,99.4,0,23.9,12,--
Brian Thomas Jr.,Jax,WR,FA,,@Cin,L 27-31,--,8.9,19th,95.4,99.8,0,17.9,9,--
Jalen Hurts,Phi,QB,FA,,@KC,W 20-17,--,11.54,28th,95.3,99.9,0,35.82,17.9,--
Broncos D/ST,Den,D/ST,FA,,@Ind,L 28-29,--,-5,2nd,95.2,99,-0.3,11,5.5,--
Brandon Aubrey,Dal,K,FA,,NYG,W 40-37,--,23,3rd,95.1,97.9,-0.2,34,17,--
Bucky Irving,TB,RB,FA,,@Hou,Mon 6:00 PM,--,18.1,12th,95,99.6,-0.1,14.5,14.5,--
Sam LaPorta,Det,TE,FA,,Chi,W 52-21,--,5.6,7th,94.4,99.4,0,19.5,9.8,--
Jayden Daniels,Wsh,QB,FA,,@GB,L 18-27,--,19.7,10th,94.2,99.9,0,39.82,19.9,--
Jake Bates,Det,K,FA,,Chi,W 52-21,--,9,18th,94.1,97.5,-1.6,16,8,--
A.J. Brown,Phi,WR,FA,,@KC,W 20-17,--,7.7,32nd,94,99.9,0,9.5,4.8,--
